,0,1,2,3
pressure,0.00024,0.0003,0.00027,0.00024
Vbias,125,125,125,125
Ibias,1.03,0.725,0.825,0.983
Varc,71.0,75.0,75.0,73.6
Iarc,5.05,3.15,3.94,5.03
Ibase,33.6,25.8,27.3,29.5
note,Tube removed.,,,
time,201202_160939,201202_161214,201202_161442,201202_161745
C0,0.1983,0.1343,0.1573,0.1923
C1,0.326,0.2319,0.2689,0.3235
C2,0.4096,0.2904,0.3373,0.4049
C3,0.4413,0.3139,0.3651,0.4374
C4,0.4441,0.3103,0.3637,0.4391
C5,0.3305,0.2267,0.2675,0.3266
C6,0.1811,0.1131,0.1393,0.1773
